X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-115.307217,56.163817,NAT97-169,4,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.14,8.6,7.02,18.31,6.49,40.7,16.67,0,0.4,98.32,,,B
-112.946578,55.138726,NAT95-126,623,G_11_UVAROVITE_PYROPE  ,Garnet,0.77,11.19,6.62,18.02,7.3,40.38,13.66,0.09,0.29,98.32,,,B
-115.753433,56.847983,NAT95-134,59,G_09_CHROME_PYROPE  ,Garnet,0.07,3.7,8.32,18.92,5.15,40.94,20.77,0.02,0.38,98.3,,,B
-115.75395,56.847233,NAT96-216,44,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.17,6.23,8.69,17.65,5.46,40.67,18.88,0.05,0.51,98.3,,,D
-115.75395,56.847233,NAT96-216,71,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.08,7.88,7.82,17.35,7.09,39.96,17.66,0.02,0.45,98.3,,,D
-115.753433,56.847983,NAT95-134,76,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0,7.41,7.73,16.94,6.95,40.67,18.04,0.03,0.49,98.25,,,C
-118.090833,54.576417,NAT96-197,4,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.1,0.04,24.9,6.99,6.24,38.5,20.82,0.02,0.61,98.24,,,A
-115.75395,56.847233,NAT96-216,54,G_09_CHROME_PYROPE  ,Garnet,0.03,4.61,7.58,18.84,5.44,40.94,20.24,0.03,0.53,98.24,,,C
-115.973889,56.926389,NAT95-146,622,G_01_TITANIAN_PYROPE  ,Garnet,0.68,1.94,7.66,20.79,4.34,41.14,21.36,0.07,0.24,98.22,,,B
-115.753433,56.847983,NAT95-134,64,G_09_CHROME_PYROPE  ,Garnet,0.13,3.11,8.4,19.19,4.76,40.95,21.24,0.01,0.42,98.21,,,A
-114.73386,56.215773,NAT95-131,619,G_01_TITANIAN_PYROPE  ,Garnet,0.59,2.23,7.02,20.89,4.65,41.92,20.57,0.06,0.23,98.17,,,E
-115.753433,56.847983,NAT95-134,605,G_09_CHROME_PYROPE  ,Garnet,0.14,4.71,7.88,18.94,5.55,39.21,21.26,0.05,0.43,98.17,,,C
-115.75395,56.847233,NAT96-216,20,G_09_CHROME_PYROPE  ,Garnet,0.08,4.78,7.79,18.83,5.12,40.71,20.29,0.04,0.53,98.17,,,A
-115.75395,56.847233,NAT96-216,45,G_09_CHROME_PYROPE  ,Garnet,0.04,3.99,7.66,18.77,5.29,40.63,21.18,0.02,0.54,98.14,,,A
-118.24205,54.715566,NAT97-223,23,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.12,0.04,15.77,9.09,11.19,39.57,21.99,0.02,0.35,98.13,,,E
-115.75395,56.847233,NAT96-216,9,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.06,6.76,8.19,17.54,6.65,40.5,18.03,0,0.41,98.12,,,C
-115.753433,56.847983,NAT95-134,604,G_09_CHROME_PYROPE  ,Garnet,0.05,5.24,8.18,18.53,5.97,39.1,20.66,0,0.39,98.11,,,B
-115.508017,56.7387,NAT97-227,84,ALMANDINE  ,Garnet,0.04,0,30.92,0.73,8.93,36.09,20.62,0,0.77,98.1,,,E
-115.753433,56.847983,NAT95-134,603,G_09_CHROME_PYROPE  ,Garnet,0.03,4.29,7.86,18.78,5.28,40.56,20.79,0,0.45,98.03,,,E
-117.723489,55.419501,PR95-3A,634,G_09_CHROME_PYROPE  ,Garnet,0.02,3.2,7.92,18.61,5.54,39.81,22.3,0.02,0.57,97.98,,,C
-115.405033,57.2944,NAT97-226,2,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.06,0.02,14.17,0,22.58,37.23,23.78,0,0.13,97.97,,,B
-117.202402,56.586613,PR95-7,581,ALMANDINE  ,Garnet,0,0,32.23,2.87,0.52,35.01,22.13,0.02,5.15,97.93,,,D
-115.753433,56.847983,NAT95-134,80,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.13,6.16,7.23,18.7,5.79,39.99,19.46,0,0.43,97.9,,,D
