HOLEID,PROJECTCODE,SAMPLENO,FROM,TO,MidEast,MidNorth,MidRL,SAMPLETYPE,PRIORITY,Au_ppb,Zn_pct
19DD0002,CU_CLIFF,40377861,216.83,218,101606.2735,2189140.915,1030.749576,QuarterCore,1,11,0.00185
19DD0002,CU_CLIFF,40377862,218,219.93,101606.176,2189140.696,1029.218217,QuarterCore,1,26,0.00208
19DD0002,CU_CLIFF,40377863,219.93,223,101606.0166,2189140.344,1026.748302,QuarterCore,1,8,0.00272
19DD0002,CU_CLIFF,40377865,223,226,101605.8215,2189139.917,1023.749841,QuarterCore,1,3,0.00209
19DD0002,CU_CLIFF,40377866,226,227.42,101605.6794,2189139.606,1021.566448,QuarterCore,1,8,0.00416
19DD0002,CU_CLIFF,40377867,227.42,228,101605.6152,2189139.465,1020.578488,QuarterCore,1,19,0.00535
19DD0002,CU_CLIFF,40377868,228,231,101605.5001,2189139.213,1018.810038,QuarterCore,1,1,0.00238
19DD0002,CU_CLIFF,40377869,231,233.13,101605.3338,2189138.853,1016.275917,QuarterCore,1,1,0.00316
19DD0002,CU_CLIFF,40377871,233.13,235.28,101605.1935,2189138.553,1014.161678,QuarterCore,1,19,0.0034
19DD0002,CU_CLIFF,40377872,235.28,238,101605.0338,2189138.212,1011.755989,QuarterCore,1,9,0.0066
19DD0002,CU_CLIFF,40377873,238,241,101604.8462,2189137.811,1008.930417,QuarterCore,1,18,0.00146
19DD0002,CU_CLIFF,40377874,241,243.16,101604.6756,2189137.451,1006.381471,QuarterCore,1,20,0.00183
19DD0002,CU_CLIFF,40377875,243.16,246,101604.5084,2189137.102,1003.911558,QuarterCore,1,6,0.00075
19DD0002,CU_CLIFF,40377876,246,249,101604.3131,2189136.695,1001.0267,QuarterCore,1,5,0.00086
19DD0002,CU_CLIFF,40377877,249,252,101604.1125,2189136.276,998.0628046,QuarterCore,1,6,0.00263
19DD0002,CU_CLIFF,40377878,252,254.53,101603.9259,2189135.891,995.331076,QuarterCore,1,2,0.00076
